缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-179,,GALLEY M7 M720 DOOR HINGE BROKEN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007287040.0,,,CMM25-25-02.REV.1,,,,"GALLEY M7 DOOR M720 HINGE BROKEN,QTY:1EA",
DEF-180,,"GALLEY TROLLEY DOOR HINGE SCREW AND WASHER MISSING,QTY:100EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007351484.0,,,CMM25-25-02.REV.1,,,,GALLEY TROLLEY DOOR HINGE SCREW AND WASHER MISSING QTY:116EA,
DEF-181,,"GALLEY M7 M703 RETRIEVER ASSY MISSING,QTY:1EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-182,,GALLEY M7 LH FOOT STEP ASSY FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-183,,GALLEY M5 M521 FOOT STEP ASSY FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-184,,"GALLEY M5 M505 M501 RETRIEVER ASSY BROKEN,QTY:2EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-185,,GALLEY M5 M521 LH AND RH TURN RETAINER FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-186,,GALLEY M7 M717 LH TURN RETAINER FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-187,,GALLEY M7 M703 SHAFT TURN RETAINER FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-188,,GALLEY M1 RH SIDE AISLE SURFACE WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874641.0,,,CMM25-25-02.REV.1,,,,GALLEY M1 RH SIDE WALL PANEL SURFACE WALLPAPER BROKEN.,
DEF-189,,GALLEY M1 LEFT SIDE AISLE SURFACE BUMPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007634856.0,,,CMM25-25-02.REV.1,,,,GALLEY M1 SURFACE BUMPER WORN,
DEF-190,,GALLEY M1 LH SIDE AISLE SURFACE WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007582718.0,,,CMM25-25-02.REV.1,,,,GALLEY M1 LH AISLE SURFACE WALLPAPER SCRATCHED,
DEF-191,,"GALLEY M1 M119 REAR DOOR LATCH FAILED,QTY:3EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007287128.0,,,CMM25-25-02.REV.1,,,,"GALLEY A315 DOOR LATCH FAILED,QTY:1EA",
DEF-192,,"GALLEY M1 TRASH COMPACTOR LANYARD AND O-RING LOOSE,LOC:M114",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-193,,"CABIN CLOSET LIGHT INOP,LOC:MS501,QTY:5EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007644252.0,,,CMM25-25-02.REV.1,,,,"CABIN CLOSET LIGHT INOP,LOC:MS501,QTY:1EA",
DEF-194,,CABIN DOGHOUSE 10# SURFACE WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
